Target	BaitCovg	w/in100nt	w/in300nt	w/in500nt
set6-0340000047620-RET-ex-0	97.58%	100.00%	100.00%	100.00%
set6-0340000047734-double-stranded-ex-7	98.75%	100.00%	100.00%	100.00%
set6-0340000047812-CRYBG1-ex-2	97.74%	100.00%	100.00%	100.00%
set6-0340000047933-CMYA5-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000047963-ZNF703-ex-1	88.75%	100.00%	100.00%	100.00%
set6-0340000047971-KHDRBS1-ex-9	95.45%	100.00%	100.00%	100.00%
set6-0340000048050-MGC147419-ex-0	96.75%	100.00%	100.00%	100.00%
set6-0340000048218-C19H1orf216-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000048433-GOLIM4-ex-9	95.10%	100.00%	100.00%	100.00%
set6-0340000048632-CCND1-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000048641-SGCA-ex-3	95.24%	100.00%	100.00%	100.00%
set6-0340000048650-MIER3-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000048722-ppp2r3b-ex-12	98.23%	100.00%	100.00%	100.00%
set6-0340000048931-GFRA1-ex-1	96.59%	100.00%	100.00%	100.00%
set6-0340000049190-ITSN2-ex-14	97.08%	100.00%	100.00%	100.00%
set6-0340000049235-PPFIA2-ex-0	95.13%	100.00%	100.00%	100.00%
set6-0340000049409-MMRN1-ex-5	98.75%	100.00%	100.00%	100.00%
set6-0340000049437-PDIK1L-ex-0	98.74%	100.00%	100.00%	100.00%
set6-0340000049460-SLC16A3-ex-3	95.58%	100.00%	100.00%	100.00%
set6-0340000049609-TNK2-ex-17	98.75%	100.00%	100.00%	100.00%
set6-0340000049709-KPNA1-ex-13	86.75%	100.00%	100.00%	100.00%
set6-0340000049722-OBSL1-ex-1	95.00%	100.00%	100.00%	100.00%
set6-0340000049722-OBSL1-ex-11	96.24%	100.00%	100.00%	100.00%
set6-0340000049867-NUMBL-ex-9	96.75%	100.00%	100.00%	100.00%
set6-0340000049882-vwc2l.2-ex-0	96.73%	100.00%	100.00%	100.00%
set6-0340000049967-ATF3-ex-1	97.52%	100.00%	100.00%	100.00%
set6-0340000050094-INPP4B-ex-13	95.22%	100.00%	100.00%	100.00%
set6-0340000050132-Kirrel1-ex-1	97.90%	100.00%	100.00%	100.00%
set6-0340000050151-STON1-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000050202-EIF3A-ex-19	95.19%	100.00%	100.00%	100.00%
set6-0340000050310-RABGEF1-ex-3	96.08%	100.00%	100.00%	100.00%
set6-0340000050349-UBE2M-ex-1	98.04%	100.00%	100.00%	100.00%
set6-0340000050525-GPR37-ex-4	96.85%	100.00%	100.00%	100.00%
set6-0340000050575-RAF1-ex-1	97.09%	100.00%	100.00%	100.00%
set6-0340000050597-KALRN-ex-0	98.25%	100.00%	100.00%	100.00%
set6-0340000050616-STEAP3-ex-4	96.55%	100.00%	100.00%	100.00%
set6-0340000050818-ybx1-ex-1	96.42%	100.00%	100.00%	100.00%
set6-0340000050910-FAM188B-ex-3	96.25%	100.00%	100.00%	100.00%
set6-0340000050911-ZBTB5-ex-3	98.75%	100.00%	100.00%	100.00%
set6-0340000050944-glucose-6-phosphate-ex-8	95.74%	100.00%	100.00%	100.00%
set6-0340000050961-ARNTL-ex-1	81.93%	100.00%	100.00%	100.00%
set6-0340000051187-TBC1D2-ex-2	95.26%	100.00%	100.00%	100.00%
set6-0340000051191-kcnj16.L-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000051231-RINT1-ex-1	95.50%	100.00%	100.00%	100.00%
set6-0340000051302-CYGB-ex-0	98.46%	100.00%	100.00%	100.00%
set6-0340000051384-ZBTB21-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000051419-LSU-ex-1	96.66%	100.00%	100.00%	100.00%
set6-0340000051439-PICALM-ex-2	96.75%	100.00%	100.00%	100.00%
set6-0340000051452-DOCK10-ex-23	95.24%	100.00%	100.00%	100.00%
set6-0340000051488-ADIPOR2-ex-2	98.54%	100.00%	100.00%	100.00%
set6-0340000051621-SRSF6-ex-1	97.91%	100.00%	100.00%	100.00%
set6-0340000051646-UBE4B-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000051680-beta-actin-ex-1	97.85%	100.00%	100.00%	100.00%
set6-0340000051830-TRANK1-ex-1	98.61%	100.00%	100.00%	100.00%
set6-0340000051834-TMEM266-ex-2	98.75%	100.00%	100.00%	100.00%
set6-0340000051946-ercc5.L-ex-8	95.12%	100.00%	100.00%	100.00%
set6-0340000052140-GATAD2A-ex-2	98.75%	100.00%	100.00%	100.00%
set6-0340000052232-CLK3-ex-0	98.51%	100.00%	100.00%	100.00%
set6-0340000052377-voltage-dependent-ex-7	97.95%	100.00%	100.00%	100.00%
set6-0340000052398-hspa12b.L-ex-27	98.44%	100.00%	100.00%	100.00%
set6-0340000052547-VPS18-ex-2	98.75%	100.00%	100.00%	100.00%
set6-0340000052548-GET4-ex-1	96.91%	100.00%	100.00%	100.00%
set6-0340000052651-IL16-ex-3	97.33%	100.00%	100.00%	100.00%
set6-0340000052655-HOMER1-ex-11	96.75%	100.00%	100.00%	100.00%
set6-0340000052665-DENR-ex-9	96.34%	100.00%	100.00%	100.00%
set6-0340000052680-hace1-ex-1	95.94%	100.00%	100.00%	100.00%
set6-0340000052689-SLC16A2-ex-0	55.03%	88.59%	100.00%	100.00%
set6-0340000052799-PARM1-ex-1	95.48%	100.00%	100.00%	100.00%
set6-0340000052851-APCDD1-ex-1	97.89%	100.00%	100.00%	100.00%
set6-0340000052929-TRIP12-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000053009-SLTM-ex-0	96.90%	100.00%	100.00%	100.00%
set6-0340000053041-fcho2-ex-0	82.18%	100.00%	100.00%	100.00%
set6-0340000053187-PPP1CC-ex-1	96.05%	100.00%	100.00%	100.00%
set6-0340000053315-MPI-ex-2	95.22%	100.00%	100.00%	100.00%
set6-0340000053455-JAGN1-ex-1	97.79%	100.00%	100.00%	100.00%
set6-0340000053781-homeobox-ex-1	96.75%	100.00%	100.00%	100.00%
set6-0340000053906-CC2D1B-ex-1	97.62%	100.00%	100.00%	100.00%
set6-0340000053941-7alpha-hydroxylase-ex-0	96.52%	100.00%	100.00%	100.00%
set6-0340000054001-FAM171A1-ex-7	98.75%	100.00%	100.00%	100.00%
set6-0340000054018-LCA5-ex-1	96.30%	100.00%	100.00%	100.00%
set6-0340000054094-LSU-ex-2	98.75%	100.00%	100.00%	100.00%
set6-0340000054154-SH3KBP1-ex-5	98.05%	100.00%	100.00%	100.00%
set6-0340000054264-NWD1-ex-4	96.34%	100.00%	100.00%	100.00%
set6-0340000054377-FLI1-ex-9	95.26%	100.00%	100.00%	100.00%
set6-0340000054620-PDCD6IP-ex-8	96.08%	100.00%	100.00%	100.00%
set6-0340000054744-ZMYND11-ex-2	96.75%	100.00%	100.00%	100.00%
set6-0340000054884-WTAP-ex-2	98.75%	100.00%	100.00%	100.00%
set6-0340000054884-WTAP-ex-4	96.34%	100.00%	100.00%	100.00%
set6-0340000055005-map4k3-ex-3	97.91%	100.00%	100.00%	100.00%
set6-0340000055085-FAM198B-ex-1	95.24%	100.00%	100.00%	100.00%
set6-0340000055086-MIER1-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000055329-NFE2L1-ex-0	90.75%	100.00%	100.00%	100.00%
set6-0340000055390-TECPR1-ex-23	95.59%	100.00%	100.00%	100.00%
set6-0340000055446-TINAGL1-ex-1	96.88%	100.00%	100.00%	100.00%
set6-0340000055469-WDR70-ex-1	98.41%	100.00%	100.00%	100.00%
set6-0340000055716-FGF17-ex-5	97.97%	100.00%	100.00%	100.00%
set6-0340000055994-Slc25a4-ex-3	97.37%	100.00%	100.00%	100.00%
set6-0340000056077-RAD54L-ex-11	96.52%	100.00%	100.00%	100.00%
set6-0340000056197-mcm7-ex-10	95.19%	100.00%	100.00%	100.00%
set6-0340000056264-tfap2b-ex-2	75.34%	100.00%	100.00%	100.00%
set6-0340000056264-tfap2b-ex-7	97.61%	100.00%	100.00%	100.00%
set6-0340000056270-pxdc1-ex-8	96.60%	100.00%	100.00%	100.00%
set6-0340000056348-TIPRL-ex-0	98.74%	100.00%	100.00%	100.00%
set6-0340000056602-PAQR9-ex-1	98.30%	100.00%	100.00%	100.00%
set6-0340000056606-PFKFB2-ex-1	97.78%	100.00%	100.00%	100.00%
set6-0340000056724-fibroleukin-ex-4	97.94%	100.00%	100.00%	100.00%
set6-0340000056793-myh7b-ex-8	95.05%	100.00%	100.00%	100.00%
set6-0340000056878-DPP3-ex-2	96.30%	100.00%	100.00%	100.00%
set6-0340000056889-wbp11-ex-2	97.78%	100.00%	100.00%	100.00%
set6-0340000056950-NAIF1-ex-1	97.65%	100.00%	100.00%	100.00%
set6-0340000056997-HNRNPK-ex-7	54.78%	100.00%	100.00%	100.00%
set6-0340000057152-slc16a6.L-ex-5	95.33%	100.00%	100.00%	100.00%
set6-0340000057208-NFE2L2-ex-1	95.76%	100.00%	100.00%	100.00%
set6-0340000057244-WIPI2-ex-1	98.29%	100.00%	100.00%	100.00%
set6-0340000057452-Cul2-ex-1	96.63%	100.00%	100.00%	100.00%
set6-0340000057480-KLHL38-ex-3	96.32%	100.00%	100.00%	100.00%
set6-0340000057598-EIF5-ex-2	97.27%	100.00%	100.00%	100.00%
set6-0340000057767-ADGRL4-ex-10	95.05%	100.00%	100.00%	100.00%
set6-0340000057910-spag6-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000057960-THAP12-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000057999-Zscan30-ex-1	98.09%	100.00%	100.00%	100.00%
set6-0340000058118-UBE2R2-ex-1	84.14%	100.00%	100.00%	100.00%
set6-0340000058126-PCBP4-ex-1	97.89%	100.00%	100.00%	100.00%
set6-0340000058193-BMT2-ex-4	98.39%	100.00%	100.00%	100.00%
set6-0340000058231-SUSD2-ex-1	95.37%	100.00%	100.00%	100.00%
set6-0340000058348-Ube2b-ex-5	97.97%	100.00%	100.00%	100.00%
set6-0340000058509-grk4-ex-6	95.59%	100.00%	100.00%	100.00%
set6-0340000058685-MEX3C-ex-1	90.75%	100.00%	100.00%	100.00%
set6-0340000058735-SEMA3E-ex-18	98.08%	100.00%	100.00%	100.00%
set6-0340000058855-gata3-ex-5	80.08%	100.00%	100.00%	100.00%
set6-0340000058863-HERPUD2-ex-7	98.75%	100.00%	100.00%	100.00%
set6-0340000058939-PTAR1-ex-7	96.58%	100.00%	100.00%	100.00%
set6-0340000059108-CALHM2-ex-4	97.60%	100.00%	100.00%	100.00%
set6-0340000059133-RP2-ex-3	98.49%	100.00%	100.00%	100.00%
set6-0340000059150-TTC22-ex-0	98.21%	100.00%	100.00%	100.00%
set6-0340000059242-DUSP1-ex-5	97.32%	100.00%	100.00%	100.00%
set6-0340000059347-DEDD2-ex-6	97.46%	100.00%	100.00%	100.00%
set6-0340000059459-nucleotide-binding-ex-2	95.65%	100.00%	100.00%	100.00%
set6-0340000059467-Hnrnpdl-ex-5	95.69%	100.00%	100.00%	100.00%
set6-0340000059540-BBS2-ex-15	95.58%	100.00%	100.00%	100.00%
set6-0340000059583-cytokeratin-ex-6	95.39%	100.00%	100.00%	100.00%
set6-0340000059749-RNF115-ex-1	95.17%	100.00%	100.00%	100.00%
set6-0340000060024-RAVER2-ex-10	97.72%	100.00%	100.00%	100.00%
set6-0340000060076-MFSD9-ex-4	95.22%	100.00%	100.00%	100.00%
set6-0340000060160-KLF5-ex-3	98.75%	100.00%	100.00%	100.00%
set6-0340000060268-ANKRD12-ex-7	90.75%	100.00%	100.00%	100.00%
set6-0340000060397-ABI3BP-ex-2	98.70%	100.00%	100.00%	100.00%
set6-0340000060401-USP21-ex-2	88.70%	100.00%	100.00%	100.00%
set6-0340000060403-TRIM50-ex-6	98.14%	100.00%	100.00%	100.00%
set6-0340000060630-GJB1-ex-2	96.52%	100.00%	100.00%	100.00%
set6-0340000060632-SCRG1-ex-1	95.78%	100.00%	100.00%	100.00%
set6-0340000060692-ZNF79-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000060701-IRF5-ex-2	93.09%	100.00%	100.00%	100.00%
set6-0340000060708-RXRA-ex-12	96.08%	100.00%	100.00%	100.00%
set6-0340000060778-KIF1B-ex-4	98.75%	100.00%	100.00%	100.00%
set6-0340000060856-med29.L-ex-1	95.71%	100.00%	100.00%	100.00%
set6-0340000060883-ZNF513-ex-2	98.70%	100.00%	100.00%	100.00%
set6-0340000060913-PNCK-ex-3	95.69%	100.00%	100.00%	100.00%
set6-0340000060989-mmp19.L-ex-5	95.92%	100.00%	100.00%	100.00%
set6-0340000061054-Twist3-ex-1	97.96%	100.00%	100.00%	100.00%
set6-0340000061261-LEMD3-ex-0	98.48%	100.00%	100.00%	100.00%
set6-0340000061272-TXNL4A-ex-4	95.35%	100.00%	100.00%	100.00%
set6-0340000061280-IGFALS-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000061372-KIF16B-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000061575-DNMT3A-ex-0	88.00%	100.00%	100.00%	100.00%
set6-0340000061765-gpr65-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000061995-RNA-binding-ex-21	98.10%	100.00%	100.00%	100.00%
set6-0340000062067-BHLHE41-ex-1	98.60%	100.00%	100.00%	100.00%
set6-0340000062197-FBXL8-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000062230-nxpe2.L-ex-1	98.14%	100.00%	100.00%	100.00%
set6-0340000062495-pycr1-ex-6	95.43%	100.00%	100.00%	100.00%
set6-0340000062510-UBQLN1-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000062790-ARRDC4-ex-7	95.94%	100.00%	100.00%	100.00%
set6-0340000062879-EMILIN3-ex-2	98.75%	100.00%	100.00%	100.00%
set6-0340000062971-dhx15-ex-9	95.41%	100.00%	100.00%	100.00%
set6-0340000063099-KLHL3-ex-0	98.23%	100.00%	100.00%	100.00%
set6-0340000063148-gucy1b3-ex-6	95.65%	100.00%	100.00%	100.00%
set6-0340000063262-UTP15-ex-12	95.88%	100.00%	100.00%	100.00%
set6-0340000063492-TFG-ex-8	98.75%	100.00%	100.00%	100.00%
set6-0340000063521-LSM14A-ex-2	98.75%	100.00%	100.00%	100.00%
set6-0340000063574-FUCA2-ex-2	97.05%	100.00%	100.00%	100.00%
set6-0340000063734-lrch4.L-ex-2	95.48%	100.00%	100.00%	100.00%
set6-0340000063794-VRK3-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000063965-USP12-ex-7	98.75%	100.00%	100.00%	100.00%
set6-0340000064028-ADA2-ex-9	95.39%	100.00%	100.00%	100.00%
set6-0340000064224-PTBP2-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000064235-OAF-ex-4	96.39%	100.00%	100.00%	100.00%
set6-0340000064262-ndnf-ex-3	98.75%	100.00%	100.00%	100.00%
set6-0340000064418-ARIH1-ex-1	93.20%	100.00%	100.00%	100.00%
set6-0340000064752-PIGQ-ex-2	98.47%	100.00%	100.00%	100.00%
set6-0340000064755-TBX18-ex-3	98.48%	100.00%	100.00%	100.00%
set6-0340000064821-GALNT11-ex-9	95.58%	100.00%	100.00%	100.00%
set6-0340000064862-guanine-ex-2	79.34%	100.00%	100.00%	100.00%
set6-0340000064927-Serine/arginine-rich-ex-5	98.40%	100.00%	100.00%	100.00%
set6-0340000065230-CDKN2AIP-ex-5	98.19%	100.00%	100.00%	100.00%
set6-0340000065426-ADGRD1-ex-0	18.69%	42.06%	88.78%	100.00%
set6-0340000065455-40S-ex-1	97.17%	100.00%	100.00%	100.00%
set6-0340000065874-RPL27-ex-0	97.76%	100.00%	100.00%	100.00%
set6-0340000066526-RPL17-ex-1	96.97%	100.00%	100.00%	100.00%
set6-0340000067014-wnt3a-ex-2	96.00%	100.00%	100.00%	100.00%
set6-0340000067062-SDHAF1-ex-0	95.73%	100.00%	100.00%	100.00%
set6-0340000068367-ATP1A1-ex-1	98.03%	100.00%	100.00%	100.00%
set6-0340000070524-HOXA1-ex-0	93.06%	100.00%	100.00%	100.00%
set6-0340000070524-HOXA1-ex-1	96.40%	100.00%	100.00%	100.00%
set6-0340000070645-transcription-ex-8	98.58%	100.00%	100.00%	100.00%
set6-0340000070693-rps8-ex-1	96.36%	100.00%	100.00%	100.00%
set6-0340000073896-ddx10-ex-2	97.10%	100.00%	100.00%	100.00%
set6-0340000076915-pole.L-ex-1	95.28%	100.00%	100.00%	100.00%
set6-0340000077754-MATN2-ex-4	97.57%	100.00%	100.00%	100.00%
set6-0340000078113-DES-ex-1	95.01%	100.00%	100.00%	100.00%
set6-0340000078292-CCDC92-ex-2	98.75%	100.00%	100.00%	100.00%
set6-0340000080383-PDS5B-ex-8	95.07%	100.00%	100.00%	100.00%
set6-0340000081988-CACNG1-ex-1	95.52%	100.00%	100.00%	100.00%
set6-0340000082114-ASAP1-ex-11	95.61%	100.00%	100.00%	100.00%
set6-0340000083036-TRRAP-ex-5	95.59%	100.00%	100.00%	100.00%
set6-0340000083145-Tm2d2-ex-0	95.33%	100.00%	100.00%	100.00%
set6-0340000084043-PMP22-ex-5	82.55%	100.00%	100.00%	100.00%
set6-0340000084110-VGLL4-ex-7	98.75%	100.00%	100.00%	100.00%
set6-0340000086778-TMEM100-ex-2	97.58%	100.00%	100.00%	100.00%
set6-0340000098202-ADCK5-ex-3	96.00%	100.00%	100.00%	100.00%
set6-0340000101215-TRERF1-ex-7	96.45%	100.00%	100.00%	100.00%
set6-0340000106024-RYR3-ex-4	96.81%	100.00%	100.00%	100.00%
set6-0340000117226-SLC9A3R1-ex-6	96.70%	100.00%	100.00%	100.00%
set6-0340000117254-NAA50-ex-0	98.62%	100.00%	100.00%	100.00%
set6-0340000117659-BMP3-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000118553-CAVIN2-ex-1	97.13%	100.00%	100.00%	100.00%
set6-0340000118575-cebpa.S-ex-1	79.51%	100.00%	100.00%	100.00%
set6-0340000118849-Cuzd1-ex-2	95.31%	100.00%	100.00%	100.00%
set6-0340000120114-mospd3.L-ex-5	96.54%	100.00%	100.00%	100.00%
set6-0340000120837-CPQ-ex-5	95.17%	100.00%	100.00%	100.00%
set6-0340000122049-HSPB8-ex-1	96.49%	100.00%	100.00%	100.00%
set6-0340000122512-CAPRIN1-ex-27	98.26%	100.00%	100.00%	100.00%
set6-0340000122574-slc16a10.L-ex-4	95.61%	100.00%	100.00%	100.00%
set6-0340000123173-COL18A1-ex-40	98.16%	100.00%	100.00%	100.00%
set6-0340000123874-FOXA2-ex-1	95.40%	100.00%	100.00%	100.00%
set6-0340000124688-prnp-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000125229-ENC1-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000126210-early-ex-1	95.58%	100.00%	100.00%	100.00%
set6-0340000130094-ppp6c-ex-7	98.75%	100.00%	100.00%	100.00%
set6-0340000130139-Hnrnpul1-ex-7	96.23%	100.00%	100.00%	100.00%
set6-0340000130171-UBFD1-ex-0	98.14%	100.00%	100.00%	100.00%
set6-0340000130408-MED26-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000130577-KLHL18-ex-9	98.06%	100.00%	100.00%	100.00%
set6-0340000131028-IRF2BP1-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000131327-FAM212A-ex-2	98.75%	100.00%	100.00%	100.00%
set6-0340000131497-PDCD6-ex-7	96.87%	100.00%	100.00%	100.00%
set6-0340000131937-eri3-ex-9	90.75%	100.00%	100.00%	100.00%
set6-0340000132058-MTF1-ex-7	98.46%	100.00%	100.00%	100.00%
set6-0340000132475-SIAH1-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000133070-anks6-ex-14	98.02%	100.00%	100.00%	100.00%
set6-0340000133136-ZNF507-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000133141-FRS2-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000133288-CERK-ex-1	95.17%	100.00%	100.00%	100.00%
set6-0340000133549-WD-ex-1	95.28%	100.00%	100.00%	100.00%
set6-0340000134528-ZSWIM5-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000134884-TLNRD1-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000135001-VDAC1-ex-6	95.56%	100.00%	100.00%	100.00%
set6-0340000135165-NOCT-ex-3	98.75%	100.00%	100.00%	100.00%
set6-0340000135206-ext1-ex-1	64.00%	93.00%	100.00%	100.00%
set6-0340000135251-TPD52L2-ex-0	96.52%	100.00%	100.00%	100.00%
set6-0340000135352-Rpa1-ex-0	95.87%	100.00%	100.00%	100.00%
set6-0340000135601-rhbdf2.L-ex-0	97.93%	100.00%	100.00%	100.00%
set6-0340000135608-KLHL8-ex-1	95.02%	100.00%	100.00%	100.00%
set6-0340000136002-SMARCA5-ex-10	95.58%	100.00%	100.00%	100.00%
set6-0340000136092-MMP14-ex-10	96.79%	100.00%	100.00%	100.00%
set6-0340000136373-ACO1-ex-2	96.44%	100.00%	100.00%	100.00%
set6-0340000136967-DBT-ex-6	95.83%	100.00%	100.00%	100.00%
set6-0340000137038-ABCF3-ex-21	98.09%	100.00%	100.00%	100.00%
set6-0340000137285-AP2A2-ex-22	95.39%	100.00%	100.00%	100.00%
set6-0340000137599-E2F1-ex-2	95.31%	100.00%	100.00%	100.00%
set6-0340000137792-CTDP1-ex-7	92.75%	100.00%	100.00%	100.00%
set6-0340000138798-LMAN2-ex-0	97.03%	100.00%	100.00%	100.00%
set6-0340000138910-myh9-ex-25	95.24%	100.00%	100.00%	100.00%
set6-0340000138910-myh9-ex-32	95.26%	100.00%	100.00%	100.00%
set6-0340000139046-FUBP3-ex-5	88.75%	100.00%	100.00%	100.00%
set6-0340000139205-ZNF581-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000139585-ERCC3-ex-12	95.74%	100.00%	100.00%	100.00%
set6-0340000139589-RAB5C-ex-1	97.61%	100.00%	100.00%	100.00%
set6-0340000139837-srsf1a-ex-0	95.87%	100.00%	100.00%	100.00%
set6-0340000139837-srsf1a-ex-3	98.60%	100.00%	100.00%	100.00%
set6-0340000139892-ZC4H2-ex-0	96.62%	100.00%	100.00%	100.00%
set6-0340000139896-HSF1-ex-1	98.27%	100.00%	100.00%	100.00%
set6-0340000139956-tgif1.L-ex-4	96.96%	100.00%	100.00%	100.00%
set6-0340000140358-tmem33-ex-7	96.72%	100.00%	100.00%	100.00%
set6-0340000140410-RBM17-ex-1	96.74%	100.00%	100.00%	100.00%
set6-0340000140514-PXN-ex-10	97.04%	100.00%	100.00%	100.00%
set6-0340000140848-borcs5-ex-0	95.43%	100.00%	100.00%	100.00%
set6-0340000141438-USP30-ex-1	96.30%	100.00%	100.00%	100.00%
set6-0340000141667-SLC35A2-ex-3	98.75%	100.00%	100.00%	100.00%
set6-0340000141676-HID1-ex-6	95.50%	100.00%	100.00%	100.00%
set6-0340000142367-TMEM39B-ex-9	95.94%	100.00%	100.00%	100.00%
set6-0340000142377-SRD5A3-ex-0	95.61%	100.00%	100.00%	100.00%
set6-0340000142549-AP2M1-ex-10	97.08%	100.00%	100.00%	100.00%
set6-0340000142549-AP2M1-ex-2	96.20%	100.00%	100.00%	100.00%
set6-0340000142566-COPG2-ex-14	95.85%	100.00%	100.00%	100.00%
set6-0340000142586-DENND2A-ex-17	98.75%	100.00%	100.00%	100.00%
set6-0340000142707-CDK8-ex-0	98.14%	100.00%	100.00%	100.00%
set6-0340000143472-INTS8-ex-28	96.53%	100.00%	100.00%	100.00%
set6-0340000143473-SYMPK-ex-14	95.63%	100.00%	100.00%	100.00%
set6-0340000143828-Ap4b1-ex-5	97.98%	100.00%	100.00%	100.00%
set6-0340000143845-Zfr-ex-5	96.34%	100.00%	100.00%	100.00%
set6-0340000144141-TCIRG1-ex-9	95.28%	100.00%	100.00%	100.00%
set6-0340000144213-LAMB1-ex-6	95.41%	100.00%	100.00%	100.00%
set6-0340000144932-CPSF2-ex-3	95.56%	100.00%	100.00%	100.00%
set6-0340000145852-KBTBD4-ex-10	98.75%	100.00%	100.00%	100.00%
set6-0340000146075-GID8-ex-0	97.01%	100.00%	100.00%	100.00%
set6-0340000146111-GPALPP1-ex-0	95.15%	100.00%	100.00%	100.00%
set6-0340000146842-NUDT21-ex-6	96.20%	100.00%	100.00%	100.00%
set6-0340000147294-PPP3CA-ex-13	98.75%	100.00%	100.00%	100.00%
set6-0340000147371-Rab3ip-ex-9	96.18%	100.00%	100.00%	100.00%
set6-0340000147646-HK2-ex-11	95.69%	100.00%	100.00%	100.00%
set6-0340000147850-FKBP10-ex-0	83.44%	100.00%	100.00%	100.00%
set6-0340000148061-APLP1-ex-18	97.26%	100.00%	100.00%	100.00%
set6-0340000148361-PPP2R5A-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000148858-TMEM132A-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000148982-wdr54.L-ex-2	95.52%	100.00%	100.00%	100.00%
set6-0340000148991-Mob2-ex-6	97.01%	100.00%	100.00%	100.00%
set6-0340000149168-NDRG2-ex-15	86.85%	100.00%	100.00%	100.00%
set6-0340000149487-pip5k1a-ex-0	96.40%	100.00%	100.00%	100.00%
set6-0340000149714-ATP6V0A1-ex-10	95.28%	100.00%	100.00%	100.00%
set6-0340000149754-eif4h-ex-0	97.95%	100.00%	100.00%	100.00%
set6-0340000150925-tmem97-ex-1	96.03%	100.00%	100.00%	100.00%
set6-0340000151363-DDX39A-ex-1	95.22%	100.00%	100.00%	100.00%
set6-0340000151503-PEX13-ex-2	98.59%	100.00%	100.00%	100.00%
set6-0340000151567-AKAP17A-ex-1	98.68%	100.00%	100.00%	100.00%
set6-0340000151582-scaf1.L-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000152015-HES1-ex-3	95.31%	100.00%	100.00%	100.00%
set6-0340000152540-VAPA-ex-5	98.28%	100.00%	100.00%	100.00%
set6-0340000153013-MGC78849-ex-6	96.06%	100.00%	100.00%	100.00%
set6-0340000153823-DNAJC7-ex-3	97.18%	100.00%	100.00%	100.00%
set6-0340000154709-GRAMD1B-ex-11	95.07%	100.00%	100.00%	100.00%
set6-0340000154771-RAB14-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000154830-RASSF7-ex-7	97.28%	100.00%	100.00%	100.00%
set6-0340000154910-INTS5-ex-4	98.75%	100.00%	100.00%	100.00%
set6-0340000154955-ABCB10-ex-12	95.00%	100.00%	100.00%	100.00%
set6-0340000155251-SERINC3-ex-8	95.56%	100.00%	100.00%	100.00%
set6-0340000155586-MKRN2-ex-3	96.71%	100.00%	100.00%	100.00%
set6-0340000155612-EBF1-ex-16	94.73%	100.00%	100.00%	100.00%
set6-0340000155637-BCL2L13-ex-6	97.45%	100.00%	100.00%	100.00%
set6-0340000155900-TMCC1-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000156189-MED24-ex-21	95.39%	100.00%	100.00%	100.00%
set6-0340000156209-CCDC85C-ex-0	82.77%	100.00%	100.00%	100.00%
set6-0340000156322-znf572.L-ex-5	95.56%	100.00%	100.00%	100.00%
set6-0340000156339-SULF1-ex-22	98.48%	100.00%	100.00%	100.00%
set6-0340000156464-MPZL1-ex-0	96.86%	100.00%	100.00%	100.00%
set6-0340000156680-PGAP2-ex-2	96.03%	100.00%	100.00%	100.00%
set6-0340000156829-MAPK1-ex-0	97.31%	100.00%	100.00%	100.00%
set6-0340000157262-RNF220-ex-12	95.82%	100.00%	100.00%	100.00%
set6-0340000157431-mbnl2-ex-12	98.75%	100.00%	100.00%	100.00%
